image_name,detected
001467.jpg,Yes
005982.jpg,No
008820.jpg,No
013642.jpg,No
017031.jpg,No
027379.jpg,Yes
030467.jpg,No
031040.jpg,No
031145.jpg,No
035735.jpg,Yes
036547.jpg,No
039394.jpg,Yes
042063.jpg,No
043863.jpg,No
044105.jpg,No
045460.jpg,No
047341.jpg,Yes
047932.jpg,No
051290.jpg,No
052469.jpg,No
053645.jpg,Yes
054852.jpg,No
055705.jpg,Yes
057614.jpg,Yes
058032.jpg,No
061212.jpg,No
061854.jpg,Yes
062770.jpg,Yes
063089.jpg,No
068718.jpg,No
081506.jpg,No
081935.jpg,No
087803.jpg,No
096137.jpg,No
096687.jpg,Yes
097861.jpg,No
099328.jpg,Yes
100816.jpg,No
101492.jpg,Yes
104711.jpg,Yes
106466.jpg,No
119029.jpg,No
122543.jpg,Yes
125193.jpg,Yes
127210.jpg,No
133841.jpg,No
138116.jpg,No
138285.jpg,Yes
145196.jpg,No
147145.jpg,Yes
147993.jpg,Yes
149700.jpg,No
154221.jpg,Yes
154706.jpg,Yes
156284.jpg,No
159011.jpg,No
161314.jpg,No
168496.jpg,No
168550.jpg,No
172159.jpg,No
175649.jpg,No
179119.jpg,No
181219.jpg,No
181992.jpg,No
185172.jpg,No
185755.jpg,No
195037.jpg,No
197503.jpg,No
197749.jpg,No
199233.jpg,No
200740.jpg,No
